first_name,last_name,email,ssn,risk level
Peter,Gonzalez,pgonzalez@strawbridge.com,234-38-0587,high
Ann,Wilson,awilson@strawbridge.com,850-05-1512,low
Holly,Hill,hhill@strawbridge.com,290-47-4298,low
Destiny,Valenzuela,dvalenzuela@strawbridge.com,653-22-6983,high
Valerie,Martinez,vmartinez@strawbridge.com,694-24-3904,high
Heather,Alvarez,halvarez@strawbridge.com,785-10-0800,high
Christopher,Monroe,cmonroe@strawbridge.com,768-92-7856,low
Shawn,Murray,smurray@strawbridge.com,898-62-4282,low
Stacey,Walker,swalker@strawbridge.com,767-58-7962,low
Francisco,Simpson,fsimpson@strawbridge.com,183-76-3221,medium
Pedro,Edwards,pedwards@strawbridge.com,426-46-7490,low
Nicole,Butler,nbutler@strawbridge.com,575-74-1051,medium
Laura,Clay,lclay@strawbridge.com,063-69-1139,medium
Matthew,Jones,mjones@strawbridge.com,326-82-6654,medium
Keith,Tyler,ktyler@strawbridge.com,493-85-8943,high
David,Ray,dray@strawbridge.com,858-68-5775,high
Victor,Waters,vwaters@strawbridge.com,782-58-2190,high
Suzanne,Howard,showard@strawbridge.com,363-05-1121,low
Heather,Fritz,hfritz@strawbridge.com,675-51-0079,high
Amy,Morales,amorales@strawbridge.com,127-59-1775,high
Gregory,Rios,grios@strawbridge.com,818-98-4209,medium
Craig,Weiss,cweiss@strawbridge.com,025-04-1413,low
Martha,Hodges,mhodges@strawbridge.com,720-09-8682,low
Kyle,Moore,kmoore@strawbridge.com,516-96-5552,high
Troy,Harris,tharris@strawbridge.com,059-19-2550,medium
Joseph,Hartman,jhartman@strawbridge.com,086-29-8898,low
Dawn,Russell,drussell@strawbridge.com,041-87-4810,medium
Maria,Hoffman,mhoffman@strawbridge.com,084-45-2297,high
Donald,Myers,dmyers@strawbridge.com,533-10-4337,low
Sarah,Hammond,shammond@strawbridge.com,056-34-7797,high
Tara,Kramer,tkramer@strawbridge.com,711-25-8234,medium
Mallory,Reynolds,mreynolds@strawbridge.com,288-09-7242,low
Jonathan,Johnson,jjohnson@strawbridge.com,691-93-3509,low
Susan,Marquez,smarquez@strawbridge.com,469-37-4947,low
Roy,West,rwest@strawbridge.com,520-91-1171,medium
Tammy,Johnson,tjohnson@strawbridge.com,617-54-6956,medium
Lauren,Owens,lowens@strawbridge.com,883-13-4616,medium
Heather,Rosales,hrosales@strawbridge.com,174-71-9330,low
Alan,Henry,ahenry@strawbridge.com,683-95-2414,low
Elizabeth,Gomez,egomez@strawbridge.com,272-56-0029,low
Aaron,Butler,abutler@strawbridge.com,163-86-3527,medium
James,Anderson,janderson@strawbridge.com,660-18-0338,low
Logan,Hammond,lhammond@strawbridge.com,280-83-7963,high
Deanna,Rollins,drollins@strawbridge.com,374-02-7763,low
Michael,Butler,mbutler@strawbridge.com,659-51-3675,medium
Derek,Brooks,dbrooks@strawbridge.com,023-22-4360,medium
Jacob,Garcia,jgarcia@strawbridge.com,103-59-9374,high
Brian,Thomas,bthomas@strawbridge.com,246-67-4401,high
Steven,Hernandez,shernandez@strawbridge.com,002-62-3132,high
Dawn,Erickson,derickson@strawbridge.com,862-96-8430,medium
